アプリバージョン
81.241.1100
端末名
IS05
OSバージョン
2.2.1
項目ID,階層・項目名,収集結果
11004,インストールされているルート証明書,"C=JP,O=SECOM Trust.net,OU=Security Communication RootCA1,
C=FI,O=Sonera,CN=Sonera Class2 CA,
C=BM,O=QuoVadis Limited,CN=QuoVadis Root CA 3,
C=JP,ST=Tokyo,O=KDDI,OU=au,CN=DM,E=mpd-2@kddi.com,
C=BE,O=GlobalSign nv-sa,OU=Root CA,CN=GlobalSign Root CA,
O=Entrust.net,OU=www.entrust.net/CPS_2048 incorp. by ref. (limits liab.),OU=(c) 1999 Entrust.net Limited,CN=Entrust.net Certification Authority (2048),
C=HU,ST=Hungary,L=Budapest,O=NetLock Halozatbiztonsagi Kft.,OU=Tanusitvanykiadok,CN=NetLock Kozjegyzoi (Class A) Tanusitvanykiado,
C=US,O=Entrust.net,OU=www.entrust.net/CPS incorp. by ref. (limits liab.),OU=(c) 1999 Entrust.net Limited,CN=Entrust.net Secure Server Certification Authority,
C=US,O=America Online Inc.,CN=America Online Root Certification Authority 1,
L=ValiCert Validation Network,O=ValiCert\, Inc.,OU=ValiCert Class 2 Policy Validation Authority,CN=http://www.valicert.com/,E=info@valicert.com,
C=US,O=VeriSign\, Inc.,OU=VeriSign Trust Network,OU=(c) 2006 VeriSign\, Inc. - For authorized use only,CN=VeriSign Class 3 Public Primary Certification Authority - G5,
C=BM,O=QuoVadis Limited,OU=Root Certification Authority,CN=QuoVadis Root Certification Authority,
C=HU,L=Budapest,O=NetLock Halozatbiztonsagi Kft.,OU=Tanusitvanykiadok,CN=NetLock Expressz (Class C) Tanusitvanykiado,
C=US,O=DigiCert Inc,OU=www.digicert.com,CN=DigiCert Assured ID Root CA,
C=PL,O=Unizeto Sp. z o.o.,CN=Certum CA,
C=IL,O=StartCom Ltd.,OU=Secure Digital Certificate Signing,CN=StartCom Certification Authority,
C=US,O=VeriSign\, Inc.,OU=Class 3 Public Primary Certification Authority - G2,OU=(c) 1998 VeriSign\, Inc. - For authorized use only,OU=VeriSign Trust Network,
C=US,O=Equifax Secure Inc.,CN=Equifax Secure Global eBusiness CA-1,
C=US,O=VeriSign\, Inc.,OU=Class 3 Public Primary Certification Authority,
C=FR,O=Certplus,CN=Class 2 Primary CA,
C=ES,L=C/ Muntaner 244 Barcelona,CN=Autoridad de Certificacion Firmaprofesional CIF A62634068,E=ca@firmaprofesional.com,
OU=GlobalSign Root CA - R2,O=GlobalSign,CN=GlobalSign,
OU=Copyright (c) 1997 Microsoft Corp.,OU=Microsoft Corporation,CN=Microsoft Root Authority,
C=BM,O=QuoVadis Limited,CN=QuoVadis Root CA 2,
C=US,O=The Go Daddy Group\, Inc.,OU=Go Daddy Class 2 Certification Authority,
C=TW,O=Government Root Certification Authority,
C=US,O=DigiCert Inc,OU=www.digicert.com,CN=DigiCert High Assurance EV Root CA,
C=ES,O=FNMT,OU=FNMT Clase 2 CA,
L=ValiCert Validation Network,O=ValiCert\, Inc.,OU=ValiCert Class 3 Policy Validation Authority,CN=http://www.valicert.com/,E=info@valicert.com,
C=US,O=Digital Signature Trust,OU=DST ACES,CN=DST ACES CA X6,
C=DE,ST=Hamburg,L=Hamburg,O=TC TrustCenter for Security in Data Networks GmbH,OU=TC TrustCenter Class 2 CA,E=certificate@trustcenter.de,
C=US,O=Starfield Technologies\, Inc.,OU=Starfield Class 2 Certification Authority,
C=DE,ST=Hamburg,L=Hamburg,O=TC TrustCenter for Security in Data Networks GmbH,OU=TC TrustCenter Class 3 CA,E=certificate@trustcenter.de,
C=US,ST=UT,L=Salt Lake City,O=The USERTRUST Network,OU=http://www.usertrust.com,CN=UTN-USERFirst-Hardware,
C=US,O=VeriSign\, Inc.,OU=VeriSign Trust Network,OU=(c) 2006 VeriSign\, Inc. - For authorized use only,CN=VeriSign Class 3 Public Primary Certification Authority - G5,
C=US,ST=UT,L=Salt Lake City,O=The USERTRUST Network,OU=http://www.usertrust.com,CN=UTN - DATACorp SGC,
C=DE,O=TC TrustCenter GmbH,OU=TC TrustCenter Universal CA,CN=TC TrustCenter Universal CA I,
C=US,O=GTE Corporation,OU=GTE CyberTrust Solutions\, Inc.,CN=GTE CyberTrust Global Root,
C=DE,O=Deutsche Telekom AG,OU=T-TeleSec Trust Center,CN=Deutsche Telekom Root CA 2,
C=SE,O=AddTrust AB,OU=AddTrust External TTP Network,CN=AddTrust External CA Root,
O=Entrust.net,OU=www.entrust.net/CPS_2048 incorp. by ref. (limits liab.),OU=(c) 1999 Entrust.net Limited,CN=Entrust.net Certification Authority (2048),
C=IL,O=StartCom Ltd.,OU=Secure Digital Certificate Signing,CN=StartCom Certification Authority,
C=US,O=DigiCert Inc,OU=www.digicert.com,CN=DigiCert Global Root CA,
C=HU,L=Budapest,O=NetLock Halozatbiztonsagi Kft.,OU=Tanusitvanykiadok,CN=NetLock Uzleti (Class B) Tanusitvanykiado,
C=US,O=Equifax,OU=Equifax Secure Certificate Authority,
C=ZA,ST=Western Cape,L=Cape Town,O=Thawte Consulting cc,OU=Certification Services Division,CN=Thawte Server CA,E=server-certs@thawte.com,
C=US,ST=UT,L=Salt Lake City,O=The USERTRUST Network,OU=http://www.usertrust.com,CN=UTN-USERFirst-Network Applications,
C=NL,O=Staat der Nederlanden,CN=Staat der Nederlanden Root CA,
C=ZA,ST=Western Cape,L=Cape Town,O=Thawte Consulting cc,OU=Certification Services Division,CN=Thawte Premium Server CA,E=premium-server@thawte.com,
C=JP,O=Japan Certification Services\, Inc.,CN=SecureSign RootCA1,
C=DK,O=TDC Internet,OU=TDC Internet Root CA,
C=DE,O=TC TrustCenter GmbH,OU=TC TrustCenter Class 2 CA,CN=TC TrustCenter Class 2 CA II,
C=US,O=Equifax Secure Inc.,CN=Equifax Secure eBusiness CA-1,
C=US,O=Entrust.net,OU=www.entrust.net/CPS incorp. by ref. (limits liab.),OU=(c) 1999 Entrust.net Limited,CN=Entrust.net Secure Server Certification Authority,
C=EU,O=AC Camerfirma SA CIF A82743287,OU=http://www.chambersign.org,CN=Chambers of Commerce Root,
L=ValiCert Validation Network,O=ValiCert\, Inc.,OU=ValiCert Class 1 Policy Validation Authority,CN=http://www.valicert.com/,E=info@valicert.com,
C=ch,O=Swisscom,OU=Digital Certificate Services,CN=Swisscom Root CA 1"
12001,SIP,
12002,SIP API,N/A
12003,VOIP,N/A
12006,登録されているAPN一覧,
12007,登録されているAPN一覧,"_id=1,
name=Android,
numeric=310995,
mcc=310,
mnc=995,
apn=internet,
user=*,
server=*,
password=*,
proxy=null,
port=null,
mmsproxy=null,
mmsport=null,
mmsc=null,
authtype=-1,
type=null,
ipversion=null,
current=null

_id=2,
name=TelKila,
numeric=310260,
mcc=310,
mnc=260,
apn=internet,
user=*,
server=*,
password=*,
proxy=null,
port=null,
mmsproxy=null,
mmsport=null,
mmsc=null,
authtype=-1,
type=null,
ipversion=null,
current=null"
12090,接続先として選択されているAPN,
12008,接続先として選択されているAPN,N/A
12009,IPv6,
12010,対応,非対応
2000,デバイス,
2001,カメラ構成,
2002,カメラの有無,有
2003,カメラ搭載台数(台),N/A
2004,オートフォーカス,対応
2005,フラッシュ,対応
2006,外側カメラ,
2007,搭載位置,N/A
2008,サポートしているアンチバンディング,N/A
2009,サポートしているフラッシュモード,"off,
auto,
on,
torch"
2010,サポートしているカラーエフェクト,"none,
mono,
sepia"
2011,サポートしているフォーカスモード,"auto,
infinity,
macro"
2012,サポートしているJPEGのサムネイルサイズ(px),"512x256,
576x320,
512x288,
480x272,
480x288,
512x384,
352x288,
320x240,
160x120,
0x0"
2013,サポートしている画像フォーマット,JPEG
2014,サポートしている画像サイズ(px),"3264x2448,
2592x1944,
2048x1536,
1600x1200,
1920x1080,
864x480,
640x480,
320x240"
2015,垂直方向の画角(degree),42.5
2016,サポートしているズームサイズ(px),"100,
109,
119,
131,
146,
165,
186"
2017,SmoothZoomのサポートの有無,有
2018,Zoomのサポートの有無,有
2019,サポートしているシーンモード,"normal,
portrait,
landscape,
night,
backlight,
sports,
letter,
food,
portrait_in,
portrait_out,
night-portrait,
party,
candlelight,
flowers,
beach,
turnred,
snow,
fireworks,
sunset,
silhouette,
pet,
baby,
smile,
sleepingface"
2020,サポートしている動画のサイズ(px),N/A
2021,サポートしているホワイトバランス,"auto,
incandescent,
fluorescent,
daylight,
cloudy-daylight"
2022,サポートしているプレビューのフォーマット,"NV21,
null"
2023,サポートしているプレビューのFPS [最小値、最大値](fps),N/A
2024,サポートしているプレビューサイズ(px),"640x480,
1280x720,
960x640,
864x480,
800x480,
320x240"
2056,顔の検出可能最大数,N/A
2045,フォーカスエリアの検出可能最大数,N/A
2046,測光エリアの検出可能最大数,N/A
2047,AEロックサポートの有無,N/A
2048,自動ホワイトバランスロックのサポートの有無,N/A
2049,ビデオスナップショットのサポートの有無,N/A
2057,手振れ補正機能,N/A
2025,内側カメラ,
2026,搭載位置,N/A
2027,サポートしているアンチバンディング,N/A
2028,サポートしているフラッシュモード,N/A
2029,サポートしているカラーエフェクト,N/A
2030,サポートしているフォーカスモード,N/A
2031,サポートしているJPEGのサムネイルサイズ(px),N/A
2032,サポートしている画像フォーマット,N/A
2033,サポートしている画像サイズ(px),N/A
2034,垂直方向の画角(degree),N/A
2035,サポートしているズームサイズ(px),N/A
2036,SmoothZoomのサポートの有無,N/A
2037,Zoomのサポートの有無,N/A
2038,サポートしているシーンモード,N/A
2039,サポートしている動画のサイズ(px),N/A
2040,サポートしているホワイトバランス,N/A
2041,サポートしているプレビューのフォーマット,N/A
2042,サポートしているプレビューのFPS [最小値、最大値](fps),N/A
2043,サポートしているプレビューサイズ(px),N/A
2050,顔の検出可能最大数,N/A
2051,フォーカスエリアの検出可能最大数,N/A
2052,測光エリアの検出可能最大数,N/A
2053,AEロックサポートの有無,N/A
2054,自動ホワイトバランスロックのサポートの有無,N/A
2055,ビデオスナップショットのサポートの有無,N/A
2058,手振れ補正機能,N/A
3010,画面サイズ,
3012,画面サイズ(インチ),3.3
3020,画面の向き,
3021,横向き画面のサポート,N/A
3022,縦向き画面のサポート,N/A
3001,画面解像度,
3002,WIDTH(px),480
3003,HEIGHT(px),854
3013,ステータスバー解像度,
3014,HEIGHT(px),38
3004,ピクセル密度,
3005,ピクセル密度(dpi),240
3006,x方向(dpi),290.2857
3007,y方向(dpi),293.12973
3008,アスペクト比,
3009,アスペクト比(横:縦),1.7619048
3015,リフレッシュレート,
3011,リフレッシュレート(Hz),0.012
4001,加速度センサー,
4002,対応,有
4003,最小遅延時間(μs),N/A
4004,値の範囲,78.4532
4005,消費電力(mA),1.0
4006,センサーの解像度(m/s^2),0.019153614
4007,重力センサー,
4008,対応,N/A
4009,最小遅延時間(μs),N/A
4010,値の範囲,N/A
4011,消費電力(mA),N/A
4012,センサーの解像度(m/s^2),N/A
4013,ジャイロセンサー,
4014,対応,無
4015,最小遅延時間(μs),N/A
4016,値の範囲,N/A
4017,消費電力(mA),N/A
4018,センサーの解像度(radians/second),N/A
4019,照度計,
4020,対応,有
4021,最小遅延時間(μs),N/A
4022,値の範囲,100000.0
4023,消費電力(mA),1.0
4024,センサーの解像度(lux),1.0
4025,地磁気計,
4026,対応,有
4027,最小遅延時間(μs),N/A
4028,値の範囲,128.0
4029,消費電力(mA),1.0
4030,センサーの解像度(μT),0.3
4031,気圧計,
4032,対応,無
4033,最小遅延時間(μs),N/A
4034,値の範囲,N/A
4035,消費電力(mA),N/A
4036,センサーの解像度(hPa),N/A
4037,近接センサー,
4038,対応,有
4039,最小遅延時間(μs),N/A
4040,値の範囲,7.0
4041,消費電力(mA),1.0
4042,センサーの解像度(cm),1.0
4043,温度センサー,
4044,対応,無
4045,最小遅延時間(μs),N/A
4046,値の範囲,N/A
4047,消費電力(mA),N/A
4048,センサーの解像度(℃),N/A
5001,GPS,
5002,対応,有
5009,海外対応,非対応
5003,GPSで対応している測位方式,
5004,GPS_PROVIDER,対応
5005,NETWORK_PROVIDER,対応
5006,PASSIVE_PROVIDER,対応
6001,NFC,
6002,対応,N/A
6004,ISO-DEPプロトコル,N/A
6005,NDEFフォーマットの読み取り,N/A
6006,NFC-A,N/A
6007,NFC-Ｂ,N/A
6008,NFC-Ｆ,N/A
6009,NFC-Ｖ,N/A
6010,Android Beam機能,N/A
13010,Bluetooth,
13011,デバイスの有無,有
12011,Wi-Fi,
12004,対応,対応
12021,Wi-Fi Direct,N/A
8008,低レイテンシのAudio回路,
8009,対応,N/A
7001,タッチパネル,
7002,デバイスの有無,有
7003,マルチタッチ,対応
7004,2箇所以上のタッチ操作,対応
7005,5箇所以上のタッチ操作,非対応
7015,2箇所以上の画面タッチイベント,N/A
7016,5箇所以上の画面タッチイベント,N/A
7017,スタイラス入力,N/A
7018,トラックボール,
7007,デバイスの有無,N/A
7020,バイブレーション機能,N/A
7021,十字キー,
7008,デバイスの有無,N/A
7023,バイブレーション機能,N/A
7024,キーボード,
7009,デバイスの有無,N/A
7026,バイブレーション機能,N/A
7027,マウス,
7010,デバイスの有無,N/A
7029,バイブレーション機能,N/A
7030,タッチパッド,
7011,デバイスの有無,N/A
7032,マイク,
7012,デバイスの有無,有
7034,ジョイスティック,
7013,デバイスの有無,N/A
7036,バイブレーション機能,N/A
7037,ゲームパッド,
7014,デバイスの有無,N/A
7039,バイブレーション機能,N/A
9000,録音/録画,
9001,サポートしている録音品質,
9002,サンプリングレート(Hz),"44100,
22050,
16000,
11025"
9003,チャンネル,"モノラル,
ステレオ"
9004,オーディオフォーマット(bit),16
10001,最小解像度,
10002,対応,有
10003,オーディオ出力のビットレート(bps),12200
10004,オーディオトラックのチャンネル数,1
10005,オーディオトラックのコーデック,AMR_NB
10006,オーディオトラックのサンプリングレート(Hz),8000
10007,1セッションにおける録画可能時間(秒),30
10008,出力ファイルフォーマット,3GPP
10009,ビデオのフレーム幅(px),320
10010,ビデオのフレーム高(px),240
10011,ビデオのフレームレート(fps),30
10012,ビデオのビットレート(bps),256000
10013,ビデオのコーデック,MPEG-4 SP
10014,最大解像度,
10015,対応,有
10016,オーディオ出力のビットレート(bps),12200
10017,オーディオトラックのチャンネル数,1
10018,オーディオトラックのコーデック,AMR_NB
10019,オーディオトラックのサンプリングレート(Hz),8000
10020,1セッションにおける録画可能時間(秒),60
10021,出力ファイルフォーマット,MPEG-4
10022,ビデオのフレーム幅(px),640
10023,ビデオのフレーム高(px),480
10024,ビデオのフレームレート(fps),30
10025,ビデオのビットレート(bps),3000000
10026,ビデオのコーデック,H.264
10027,解像度 176×144,
10028,対応,N/A
10029,オーディオ出力のビットレート(bps),N/A
10030,オーディオトラックのチャンネル数,N/A
10031,オーディオトラックのコーデック,N/A
10032,オーディオトラックのサンプリングレート(Hz),N/A
10033,1セッションにおける録画可能時間(秒),N/A
10034,出力ファイルフォーマット,N/A
10035,ビデオのフレーム幅(px),N/A
10036,ビデオのフレーム高(px),N/A
10037,ビデオのフレームレート(fps),N/A
10038,ビデオのビットレート(bps),N/A
10039,ビデオのコーデック,N/A
10183,解像度 320×240,
10184,対応,N/A
10185,オーディオ出力のビットレート(bps),N/A
10186,オーディオトラックのチャンネル数,N/A
10187,オーディオトラックのコーデック,N/A
10188,オーディオトラックのサンプリングレート(Hz),N/A
10189,1セッションにおける録画可能時間(秒),N/A
10190,出力ファイルフォーマット,N/A
10191,ビデオのフレーム幅(px),N/A
10192,ビデオのフレーム高(px),N/A
10193,ビデオのフレームレート(fps),N/A
10194,ビデオのビットレート(bps),N/A
10195,ビデオのコーデック,N/A
10040,解像度 352×288,
10041,対応,N/A
10042,オーディオ出力のビットレート(bps),N/A
10043,オーディオトラックのチャンネル数,N/A
10044,オーディオトラックのコーデック,N/A
10045,オーディオトラックのサンプリングレート(Hz),N/A
10046,1セッションにおける録画可能時間(秒),N/A
10047,出力ファイルフォーマット,N/A
10048,ビデオのフレーム幅(px),N/A
10049,ビデオのフレーム高(px),N/A
10050,ビデオのフレームレート(fps),N/A
10051,ビデオのビットレート(bps),N/A
10052,ビデオのコーデック,N/A
10053,解像度 720×480,
10054,対応,N/A
10055,オーディオ出力のビットレート(bps),N/A
10056,オーディオトラックのチャンネル数,N/A
10057,オーディオトラックのコーデック,N/A
10058,オーディオトラックのサンプリングレート(Hz),N/A
10059,1セッションにおける録画可能時間(秒),N/A
10060,出力ファイルフォーマット,N/A
10061,ビデオのフレーム幅(px),N/A
10062,ビデオのフレーム高(px),N/A
10063,ビデオのフレームレート(fps),N/A
10064,ビデオのビットレート(bps),N/A
10065,ビデオのコーデック,N/A
10066,解像度 1280×720,
10067,対応,N/A
10068,オーディオ出力のビットレート(bps),N/A
10069,オーディオトラックのチャンネル数,N/A
10070,オーディオトラックのコーデック,N/A
10071,オーディオトラックのサンプリングレート(Hz),N/A
10072,1セッションにおける録画可能時間(秒),N/A
10073,出力ファイルフォーマット,N/A
10074,ビデオのフレーム幅(px),N/A
10075,ビデオのフレーム高(px),N/A
10076,ビデオのフレームレート(fps),N/A
10077,ビデオのビットレート(bps),N/A
10078,ビデオのコーデック,N/A
10079,解像度 1920×1080,
10080,対応,N/A
10081,オーディオ出力のビットレート(bps),N/A
10082,オーディオトラックのチャンネル数,N/A
10083,オーディオトラックのコーデック,N/A
10084,オーディオトラックのサンプリングレート(Hz),N/A
10085,1セッションにおける録画可能時間(秒),N/A
10086,出力ファイルフォーマット,N/A
10087,ビデオのフレーム幅(px),N/A
10088,ビデオのフレーム高(px),N/A
10089,ビデオのフレームレート(fps),N/A
10090,ビデオのビットレート(bps),N/A
10091,ビデオのコーデック,N/A
10092,微速度撮影：最小解像度,
10093,対応,N/A
10094,オーディオ出力のビットレート(bps),N/A
10095,オーディオトラックのチャンネル数,N/A
10096,オーディオトラックのコーデック,N/A
10097,オーディオトラックのサンプリングレート(Hz),N/A
10098,1セッションにおける録画可能時間(秒),N/A
10099,出力ファイルフォーマット,N/A
10100,ビデオのフレーム幅(px),N/A
10101,ビデオのフレーム高(px),N/A
10102,ビデオのフレームレート(fps),N/A
10103,ビデオのビットレート(bps),N/A
10104,ビデオのコーデック,N/A
10105,微速度撮影：最大解像度,
10106,対応,N/A
10107,オーディオ出力のビットレート(bps),N/A
10108,オーディオトラックのチャンネル数,N/A
10109,オーディオトラックのコーデック,N/A
10110,オーディオトラックのサンプリングレート(Hz),N/A
10111,1セッションにおける録画可能時間(秒),N/A
10112,出力ファイルフォーマット,N/A
10113,ビデオのフレーム幅(px),N/A
10114,ビデオのフレーム高(px),N/A
10115,ビデオのフレームレート(fps),N/A
10116,ビデオのビットレート(bps),N/A
10117,ビデオのコーデック,N/A
10118,微速度撮影：解像度 176×144,
10119,対応,N/A
10120,オーディオ出力のビットレート(bps),N/A
10121,オーディオトラックのチャンネル数,N/A
10122,オーディオトラックのコーデック,N/A
10123,オーディオトラックのサンプリングレート(Hz),N/A
10124,1セッションにおける録画可能時間(秒),N/A
10125,出力ファイルフォーマット,N/A
10126,ビデオのフレーム幅(px),N/A
10127,ビデオのフレーム高(px),N/A
10128,ビデオのフレームレート(fps),N/A
10129,ビデオのビットレート(bps),N/A
10130,ビデオのコーデック,N/A
10196,微速度撮影：解像度 320×240,
10197,対応,N/A
10198,オーディオ出力のビットレート(bps),N/A
10199,オーディオトラックのチャンネル数,N/A
10200,オーディオトラックのコーデック,N/A
10201,オーディオトラックのサンプリングレート(Hz),N/A
10202,1セッションにおける録画可能時間(秒),N/A
10203,出力ファイルフォーマット,N/A
10204,ビデオのフレーム幅(px),N/A
10205,ビデオのフレーム高(px),N/A
10206,ビデオのフレームレート(fps),N/A
10207,ビデオのビットレート(bps),N/A
10208,ビデオのコーデック,N/A
10131,微速度撮影：解像度 352×288,
10132,対応,N/A
10133,オーディオ出力のビットレート(bps),N/A
10134,オーディオトラックのチャンネル数,N/A
10135,オーディオトラックのコーデック,N/A
10136,オーディオトラックのサンプリングレート(Hz),N/A
10137,1セッションにおける録画可能時間(秒),N/A
10138,出力ファイルフォーマット,N/A
10139,ビデオのフレーム幅(px),N/A
10140,ビデオのフレーム高(px),N/A
10141,ビデオのフレームレート(fps),N/A
10142,ビデオのビットレート(bps),N/A
10143,ビデオのコーデック,N/A
10144,微速度撮影：解像度 720×480,
10145,対応,N/A
10146,オーディオ出力のビットレート(bps),N/A
10147,オーディオトラックのチャンネル数,N/A
10148,オーディオトラックのコーデック,N/A
10149,オーディオトラックのサンプリングレート(Hz),N/A
10150,1セッションにおける録画可能時間(秒),N/A
10151,出力ファイルフォーマット,N/A
10152,ビデオのフレーム幅(px),N/A
10153,ビデオのフレーム高(px),N/A
10154,ビデオのフレームレート(fps),N/A
10155,ビデオのビットレート(bps),N/A
10156,ビデオのコーデック,N/A
10157,微速度撮影：解像度 1280×720,
10158,対応,N/A
10159,オーディオ出力のビットレート(bps),N/A
10160,オーディオトラックのチャンネル数,N/A
10161,オーディオトラックのコーデック,N/A
10162,オーディオトラックのサンプリングレート(Hz),N/A
10163,1セッションにおける録画可能時間(秒),N/A
10164,出力ファイルフォーマット,N/A
10165,ビデオのフレーム幅(px),N/A
10166,ビデオのフレーム高(px),N/A
10167,ビデオのフレームレート(fps),N/A
10168,ビデオのビットレート(bps),N/A
10169,ビデオのコーデック,N/A
10170,微速度撮影：解像度 1920×1080,
10171,対応,N/A
10172,オーディオ出力のビットレート(bps),N/A
10173,オーディオトラックのチャンネル数,N/A
10174,オーディオトラックのコーデック,N/A
10175,オーディオトラックのサンプリングレート(Hz),N/A
10176,1セッションにおける録画可能時間(秒),N/A
10177,出力ファイルフォーマット,N/A
10178,ビデオのフレーム幅(px),N/A
10179,ビデオのフレーム高(px),N/A
10180,ビデオのフレームレート(fps),N/A
10181,ビデオのビットレート(bps),N/A
10182,ビデオのコーデック,N/A
16001,OpenMAX IL：AAC(Advanced Audio Coding),
16002,コーデック名,N/A
16006,プロファイル,N/A
16003,MIME TYPE,N/A
16007,OpenMAX IL：H.264/AVC(Advanced Video Coding),
16008,コーデック名,N/A
16011,カラーフォーマット,N/A
16012,プロファイル/レベル,N/A
16009,MIME TYPE,N/A
16013,OpenMAX IL：H.263,
16014,コーデック名,N/A
16017,カラーフォーマット,N/A
16018,プロファイル/レベル,N/A
16015,MIME TYPE,N/A
16019,OpenMAX IL：MPEG4,
16020,コーデック名,N/A
16023,カラーフォーマット,N/A
16024,プロファイル/レベル,N/A
16021,MIME TYPE,N/A
16025,OpenMAX IL：その他,
16026,コーデック名,N/A
16029,カラーフォーマット,N/A
16027,MIME TYPE,N/A
13000,その他,
8001,音声エフェクト,
8002,BassBoost,N/A
8003,EnvironmentalReverb,N/A
8004,Equalizer,N/A
8005,PresetReverb,N/A
8006,Virtualizer,N/A
8007,Visualizer,N/A
13029,エコー除去機能,
13030,対応,非対応
13031,オートゲインコントロール機能,
13032,対応,非対応
13033,ノイズキャンセル機能,
13034,対応,非対応
13035,バイブレーション機能,
13036,対応,N/A
13037,アニメーション,
13038,サポートするアクセラレーション,N/A
13026,採用3Dグラフィックスアクセラレータ,
13020,Renderer,Adreno 205
13027,Live Wallpaper,
13022,対応,対応
13023,USB,
13024,ホスト機能,非対応
13025,アクセサリ機能,非対応
13005,音声認識,
13006,対応,対応
13045,ハンズフリー,
13039,対応,N/A
13040,対応(セキュア実行),N/A
13007,読み上げ,
13008,利用音声データ,com.svox.pico
13009,使用可能なロケール,N/A
13041,Localeに対応した読み上げ機能サポート,N/A
13001,Java SE互換機能,
13002,文字エンコーディング,"Big5,
BOCU-1,
CESU-8,
cp864,
EUC-JP,
EUC-KR,
GBK,
HZ-GB-2312,
ISO-2022-CN,
ISO-2022-CN-EXT,
ISO-2022-JP,
ISO-2022-JP_kddi,
ISO-2022-JP_softbank,
ISO-2022-KR,
ISO-8859-1,
ISO-8859-10,
ISO-8859-13,
ISO-8859-14,
ISO-8859-15,
ISO-8859-16,
ISO-8859-2,
ISO-8859-3,
ISO-8859-4,
ISO-8859-5,
ISO-8859-6,
ISO-8859-7,
ISO-8859-8,
ISO-8859-9,
KOI8-R,
macintosh,
SCSU,
Shift_JIS,
TIS-620,
US-ASCII,
UTF-16,
UTF-16BE,
UTF-16LE,
UTF-32,
UTF-32BE,
UTF-32LE,
UTF-7,
UTF-8,
windows-1250,
windows-1251,
windows-1252,
windows-1253,
windows-1254,
windows-1255,
windows-1256,
windows-1257,
windows-1258,
x-docomo-shift_jis-2007,
x-gsm-03.38-2000,
x-ibm-1383_P110-1999,
x-IMAP-mailbox-name,
x-iscii-be,
x-iscii-de,
x-iscii-gu,
x-iscii-ka,
x-iscii-ma,
x-iscii-or,
x-iscii-pa,
x-iscii-ta,
x-iscii-te,
x-iso-8859_11-2001,
x-JavaUnicode,
x-kddi-shift_jis-2007,
x-mac-cyrillic,
x-softbank-shift_jis-2007,
x-UnicodeBig,
x-UTF-16LE-BOM,
x-UTF16_OppositeEndian,
x-UTF16_PlatformEndian,
x-UTF32_OppositeEndian,
x-UTF32_PlatformEndian"
